"true_te","true_att","rd_optimal","rd_half","rd_double","rd_bandwidth","rd_optimal_se","rd_half_se","rd_double_se","cf_ate","cf_ate_se","cf_att","cf_att_se","cf_hybrid_ate","cf_hybrid_ate_se","cf_hybrid_att","cf_hybrid_att_se","n_treated","n_control","het_slope","latent_corr"
0.5,0.5,1.14669201233162,1.43612657242156,0.762794487749688,0.584776033018442,0.40119826274931,0.543225617454395,0.289598795304721,0.666699329049252,0.0471317336503949,0.639469369469805,0.0428855423234744,0.583787149754631,0.0273137512711495,0.538623381124844,0.046187211192878,674,4326,0,0.3
0.5,0.5,0.922916012235301,0.792521363358836,0.849210865648993,0.697249267161929,0.358061956080327,0.539770670838179,0.265691173595531,0.652109754281795,0.051420058126844,0.655633419393581,0.048261541565528,0.551231032141229,0.0292335944300145,0.533944972944002,0.0515690408397028,635,4365,0,0.3
0.5,0.5,0.596391827912996,0.449140500710813,0.6647853751868,0.704080715674186,0.407136265838747,0.606019670765683,0.271028365669289,0.686487798735543,0.0506585001504707,0.691948299793476,0.0480134125395265,0.618917338656276,0.0293057101102381,0.618012085831139,0.051160217521969,657,4343,0,0.3
0.5,0.5,0.760666571767871,0.680202423304368,0.731078944166065,0.714308827017725,0.367122499918463,0.475889772923695,0.274806541392892,0.655272671110872,0.051327160319325,0.673331991986232,0.0473668938793587,0.624391989692444,0.0291398795839696,0.569899005635552,0.0506013006067939,617,4383,0,0.3
0.5,0.5,0.613588105333235,0.819188268108637,0.769771471797954,0.768994960405379,0.398924617616955,0.502974163667554,0.27889719195645,0.650892881589754,0.051589644540239,0.632692391711344,0.0469310617976252,0.532369037864817,0.0280039392965429,0.463640940125285,0.0498586258407747,635,4365,0,0.3
0.5,0.5,0.769738355743496,1.02438429460372,0.530313221650663,0.632871982922145,0.453318497107453,0.712308541420599,0.321622184498421,0.588064643636767,0.0481755278728238,0.606327793947314,0.0456550891459783,0.508998085713069,0.0278163827564647,0.512617592529041,0.0489208622174843,661,4339,0,0.3
0.5,0.5,0.427693313303257,0.747604785586715,0.431575525689727,0.769451159362759,0.296850484392466,0.435121571697663,0.224830861003252,0.603547529645762,0.0455956359387171,0.605310939088257,0.0439105766567161,0.504899981433876,0.0279396796441749,0.517268175114546,0.0479265433410681,687,4313,0,0.3
0.5,0.5,0.348531517308255,0.780069577639697,0.402667788439335,0.871305761569961,0.361173323220305,0.626931397820565,0.244426351769455,0.584181861269964,0.0545904987915636,0.630387875297915,0.0477716279526632,0.498502498462355,0.0294634325091543,0.53642891663453,0.0511922645102339,651,4349,0,0.3
0.5,0.5,0.566978693919984,-0.0112527246009962,0.864735463757454,0.593846742653256,0.389820941604436,0.50406731243422,0.30207550029862,0.586701987841857,0.0495092804815592,0.586060941859297,0.0464454160905905,0.444587091942893,0.027810221894151,0.441920940516587,0.0496631510390876,632,4368,0,0.3
0.5,0.5,0.658957603359767,0.887553615063205,0.550642078264942,0.725941186208486,0.319072487490466,0.502391165016469,0.231379420976299,0.51244000961868,0.0478563694620616,0.50396691741738,0.0462039539240641,0.412770345657598,0.0289959692465264,0.38033043136608,0.0495372640154481,645,4355,0,0.3
0.5,0.5,0.553527193231638,0.7480250543655,0.357213882251198,0.685569324248148,0.336897556992363,0.457104888810844,0.258035083029258,0.583368358704716,0.0536236446368229,0.560449976826185,0.0464572392619649,0.472146658983417,0.0287741064645863,0.453764187030625,0.0498383441938607,670,4330,0,0.3
0.5,0.5,1.37394533847211,1.79285554488543,1.0741361903424,0.782394877853437,0.36112320602638,0.486920157624411,0.259635019171064,0.568486940813216,0.0479487577859639,0.572860723284751,0.0461846363681508,0.446880475485741,0.0274475094891382,0.430197589056336,0.0495524227339232,645,4355,0,0.3
0.5,0.5,0.89327491952076,0.941789844370979,0.822917367456527,0.779741789590812,0.29168736341957,0.382987637447023,0.235775384899329,0.627351070907717,0.0518946296275264,0.649257045139111,0.0478716008218466,0.473197208348126,0.028535831415158,0.520543098543392,0.0505495528893576,628,4372,0,0.3
0.5,0.5,0.747013336590045,0.821837104363038,0.836531640704235,0.72806933572677,0.343678238730904,0.473300004842082,0.251211754177139,0.669269239082805,0.0484184812977689,0.665225557597966,0.0452219540695021,0.573132499493684,0.0285349595965196,0.550556039148449,0.0490579162172915,658,4342,0,0.3
0.5,0.5,1.47043511535618,0.992568422914606,1.00172958412504,0.571534995278155,0.509345624340718,0.66936006294196,0.319969732192584,0.613292525545792,0.0490295000827448,0.579071827747394,0.0458669489089398,0.495095417067755,0.0273163626537982,0.444054106927235,0.0490335940812723,644,4356,0,0.3
0.5,0.5,1.94558082134012,2.65970144830322,1.17095893685402,0.464325587623675,0.453034792106715,0.760162762185051,0.269550207303677,0.551060301068189,0.0489645413149102,0.560288646665975,0.0470115544021239,0.429586592605561,0.0280648202401246,0.427361319134366,0.0499904486713308,609,4391,0,0.3
0.5,0.5,0.43698839234382,0.304975821467203,0.438207330757137,0.944666352732432,0.339742396704309,0.440923750247557,0.244273915154835,0.583989192193354,0.0462455545966143,0.573953447508189,0.0437400266505586,0.5071095660909,0.0267028721106627,0.478621441662113,0.0470281140832115,650,4350,0,0.3
0.5,0.5,-0.0665318909035265,-0.464072789617461,0.0926688028400496,0.761083350183591,0.368315684992885,0.516721147416463,0.280192278142022,0.596619131959974,0.0507943602904271,0.628542152259704,0.0476538262672551,0.515812176342141,0.0290771540382838,0.517869245109997,0.0509001376251903,625,4375,0,0.3
