"true_te","true_att","rd_optimal","rd_half","rd_double","rd_bandwidth","rd_optimal_se","rd_half_se","rd_double_se","cf_ate","cf_ate_se","cf_att","cf_att_se","cf_hybrid_ate","cf_hybrid_ate_se","cf_hybrid_att","cf_hybrid_att_se","n_treated","n_control","het_slope","latent_corr"
0.5,0.5,0.747734272074827,0.420944536947044,0.879548725752459,0.804541989448694,0.301739080623863,0.357224024423912,0.251070957106364,0.552690833285844,0.0512647991737137,0.553810009346693,0.0475530446844451,0.555137522174621,0.0278128962951904,0.544886759830238,0.0503749350141647,600,4400,0,0
0.5,0.5,0.70526539344167,0.700229787842037,0.908706794391577,0.793793829741318,0.433900846902253,0.821258071359508,0.284374187407959,0.486609594942286,0.0503936862074128,0.490240165076888,0.0466216268753215,0.512045312323285,0.0297033558209468,0.475917512192624,0.049607184408191,648,4352,0,0
0.5,0.5,0.645973741833348,0.32778681583229,0.621501955841147,0.74435280124591,0.320357930007343,0.434283696442224,0.245843797918705,0.573296545212911,0.0478777343944114,0.555835866165255,0.0461315004311787,0.569553034013813,0.027350836827621,0.549755846823212,0.0498216921110776,664,4336,0,0
0.5,0.5,0.882315442494092,0.883689620658307,0.75731981166143,0.775050602502744,0.327232823054441,0.401713774705359,0.250573810815516,0.565082784263736,0.0525109505584845,0.587694597684309,0.0481456670095029,0.612192768820788,0.0291878029416544,0.614997219927546,0.0512357575379681,644,4356,0,0
0.5,0.5,0.466850816091439,0.390207762907557,0.481700538082703,0.826594142799913,0.367861679081114,0.528501393216741,0.26615883242696,0.491972659555785,0.0490492393887338,0.513701666482944,0.0461059125005088,0.541097426179062,0.0285818810174415,0.542265168053275,0.0489320829895596,656,4344,0,0
0.5,0.5,0.710471223517274,0.797577439520931,0.559574195390961,0.838387240026721,0.376487601861307,0.577646587899879,0.266066626706165,0.485714434615706,0.0519173462935407,0.493976778529607,0.0484103906291628,0.45832323348643,0.0276440444568658,0.486200036117358,0.0515885475300236,587,4413,0,0
0.5,0.5,0.569779524889633,0.862728764101176,0.465376335641407,0.952851329590077,0.289983541950258,0.377795602286484,0.213831719295737,0.492048488725464,0.0506981318361597,0.488114405455774,0.0467889758239822,0.53729701163921,0.0284589908576132,0.508129591934597,0.0501242847732012,669,4331,0,0
0.5,0.5,0.618664487407615,0.826958053230071,0.341088731795811,0.62845192883981,0.367940865744964,0.521571648324541,0.277106641576035,0.527627132544436,0.0501515125346248,0.524858299494824,0.046571876983738,0.546294666862072,0.0285743610759716,0.520736989371008,0.0497477642829533,654,4346,0,0
0.5,0.5,0.0996522438496013,0.258635929558848,0.196921994710113,0.771540931911385,0.340886074941165,0.450904514092944,0.256506283385742,0.510073737375994,0.0493331371605278,0.52749580747238,0.0471030571264289,0.581604901365901,0.0280569435872921,0.545674231409833,0.0506106801344931,619,4381,0,0
0.5,0.5,0.975989807437847,0.79112450484165,0.66700144412735,0.743844719679278,0.394907413353602,0.558427966615612,0.27173664264781,0.52620471434476,0.0514449612810753,0.533773071010219,0.0476273310514909,0.502416843296241,0.0290977148069264,0.5256411640313,0.0512166773697514,654,4346,0,0
0.5,0.5,-0.777116585057597,-0.744807109609445,-0.318545535666831,0.550257902221716,0.416393971891577,0.536953675924923,0.28358937855347,0.432219303617851,0.0459142045402288,0.374716410324386,0.0447952093669161,0.417017466382845,0.0269405381362921,0.393521005512521,0.0484079046565719,654,4346,0,0
0.5,0.5,0.630023153391946,0.637102177081919,0.685869709692014,0.842121199653919,0.317631276835114,0.427676530974189,0.239598808735066,0.603733752745284,0.0475901193923743,0.59696761442565,0.0457535456254728,0.62377863253906,0.0280267341828469,0.587033552967597,0.0491647319739624,647,4353,0,0
0.5,0.5,0.553036543316634,0.822127046889388,0.649106400316298,0.816979584957667,0.311531040911684,0.378043267503176,0.253582244484889,0.561632848526178,0.0530674222439011,0.554918539329107,0.0464819647439311,0.549800846879889,0.028716620236835,0.52983877569326,0.0497793740416088,666,4334,0,0
0.5,0.5,0.700414528317946,0.631789199149667,0.654080452992636,0.811937190885307,0.398682772912771,0.603725591870913,0.273399620217297,0.591352316677567,0.0465509568721994,0.568728596986232,0.0457928915510133,0.614521428014157,0.0281223703177068,0.590568486339285,0.0490753224193795,670,4330,0,0
0.5,0.5,0.747146532173604,0.187646564705306,0.68733868007803,0.69521044370227,0.442183540782806,0.603839333889007,0.302802171702887,0.429567895141578,0.0514332724354732,0.4536337873396,0.0489039306765248,0.409224348848083,0.0288733660261992,0.454721560907922,0.0527086437647986,620,4380,0,0
0.5,0.5,0.409367342098281,0.93842726693378,0.311171006359148,0.705519384223888,0.391892953093935,0.630061096243209,0.278540852952508,0.474646199318033,0.050993723633158,0.487775089980542,0.0472330091902237,0.509936135687574,0.029576027662819,0.49597586612165,0.0501543452683285,631,4369,0,0
0.5,0.5,0.363571787698135,0.438726827126344,0.270126831949234,0.77661093081631,0.305644206766942,0.38107214788122,0.241285387489748,0.430625361440209,0.0480747367780105,0.419506557463539,0.0458866285504648,0.432019193442987,0.0275999726904263,0.437664858194768,0.0496130988963261,666,4334,0,0
0.5,0.5,0.530569816453815,0.381595649190528,0.560119114782511,0.783612740671907,0.311623483890213,0.471327229527607,0.232530709000829,0.607372908948133,0.0498951194172646,0.588393234929743,0.0469464825164384,0.594080150365706,0.0292542950463992,0.600100479908436,0.0508383125291323,670,4330,0,0
